Id,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchaseCoffee,itempurchaseCold,itemPurchasePastries,itemPurchaseJuices,itemPurchaseSandwiches,itemPurchaseOthers,spendPurchase,productRate,priceRate,promoRate,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethodApp,promoMethodSoc,promoMethodEmail,promoMethodDeal,promoMethodFriend,promoMethodDisplay,promoMethodBillboard,promoMethodOthers,loyal,0,1,2,3,4,5,6,7
40,0,2,2,2,3,2,0,0,0,1,1,1,1,1,1,1,3,2,5,3,3,5,3,1,1,1,1,1,1,1,1,0,0.602870571234237,-0.36505583298514066,-0.8926870938861198,-0.13700609348008372,0.31072251415363045,-0.7157498089248184,-0.7542242478426704,0.17426797111157558
42,0,1,2,0,2,0,1,0,0,1,1,1,1,1,1,2,5,4,5,5,3,5,5,1,1,1,1,1,1,1,1,0,0.021281029227163337,-0.004590460497816862,0.12538217471405175,-0.3922619372488648,-0.1527116987650111,-0.3520175811976075,0.23884168821279425,0.09897805518240081
43,1,1,2,1,1,0,1,0,0,1,1,1,1,1,1,2,5,4,5,5,1,4,4,1,1,1,1,1,1,1,1,0,-0.004264080483155422,-0.7649903858329714,0.3472561168617862,-0.26681065146016114,-0.2728333986535177,-0.08556199521577848,0.682737528505484,-0.3426961181345347
44,1,1,2,0,2,2,0,2,1,1,1,1,1,1,1,2,4,4,5,4,4,5,5,1,1,1,1,1,1,1,1,0,-0.45497060227386277,-0.49731006898033064,0.062204534261578716,0.12025498137516771,0.1255128776503937,0.22522074523123256,-0.33318988034409397,-0.009092199616344467
46,1,2,0,2,3,2,0,1,0,1,1,1,1,1,1,2,5,3,4,3,4,4,4,1,1,1,1,1,1,1,1,0,-0.01783011208770703,-0.10369288403824138,-0.7771971738513334,0.15924638371360983,0.3927074708972102,-0.37964724051719134,-0.6134796436012292,0.3901648917398349
48,1,1,1,0,3,2,1,2,1,1,1,1,1,1,1,0,3,1,5,4,3,3,2,1,1,1,1,1,1,1,1,0,-0.11092181237963301,-0.15873721287037232,0.29432408709436286,0.301702029233686,-0.22045576337211198,0.7783250843704056,-0.40541908954589795,0.7272217072498277
49,1,1,2,1,3,2,0,0,1,1,1,1,1,1,1,1,3,4,5,4,3,4,2,1,1,1,1,1,1,1,1,0,-0.17473530555929961,-0.9891046276107256,0.25416347115950016,-0.0236506923453604,-0.10342454093431232,0.25764714526753485,-0.029565255888046704,-0.4539712408196431
50,0,0,0,0,3,1,0,0,0,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0,-0.5325361493828203,1.4579511657641682,-0.33808659841663163,0.10268690078180293,-0.044418681747981345,-0.20153637630517027,0.047999077126236064,-0.6814925086683336
51,0,3,2,3,3,0,0,2,0,1,1,1,1,1,1,2,4,4,4,4,2,3,4,1,1,1,1,1,1,1,1,0,1.7722088372688056,0.5876812327175988,1.76908832757195,-0.34423844571742374,1.5088659271088742,-0.5947046945291655,-0.36764426163043185,-0.46493962351173057
52,1,0,0,0,3,0,0,2,1,1,1,1,1,1,1,1,3,3,2,2,2,4,3,1,1,1,1,1,1,1,1,1,-0.8614247358842729,1.0421529092284814,0.18092748320847413,-0.2487123798799468,0.1166390805885165,-0.14166163966738898,0.4262617855179792,-0.21257996142759203
53,1,3,3,0,2,2,0,2,0,1,1,1,1,1,1,3,5,4,3,5,3,5,5,1,1,1,1,1,1,1,1,0,0.4287187347853203,0.1577370272527145,1.0134909040328588,2.627671744534137,1.4991270511619799,0.3104044139399375,0.5149636630707124,-0.4288076849290921
54,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,2,3,3,2,3,3,3,3,1,1,1,1,1,1,1,1,0,-0.8383165558077023,1.1893457990594085,-0.3081715931668186,0.3720438602910347,0.06439703694821808,0.03249280964035653,0.18827029296287856,-0.6782876407819705
55,1,1,2,1,3,2,1,0,0,1,1,1,1,1,1,2,4,3,5,4,4,5,5,1,1,1,1,1,1,1,1,0,-0.17473530555929961,-0.9891046276107256,0.25416347115950016,-0.0236506923453604,-0.10342454093431232,0.25764714526753485,-0.029565255888046704,-0.4539712408196431
